zhuohual/docker;builder/dockerfile/parser/testfiles/kartar-entrypoint-oddities/Dockerfile
ewindisch/docker;contrib/syntax/textmate/Docker.tmbundle/Syntaxes/Dockerfile.tmLanguage
fcvarela/contrib;mungegithub/Dockerfile-shame-mailer
jrxFive/telegraf;Godeps/_workspace/src/github.com/influxdb/influxdb/Dockerfile_test_ubuntu32
piosz/kubernetes;vendor/golang.org/x/net/http2/Dockerfile
ucldc/ucldc-iiif;docker/Dockerfile
ciwang/kubernetes;examples/k8petstore/redis-slave/Dockerfile
suonto/kubernetes;examples/kubectl-container/Dockerfile
abudulemusa/docker;integration-cli/build_tests/TestAdd/DirContentToExistDir/Dockerfile
childsb/kubernetes;examples/guestbook-go/_src/Dockerfile
