mehulsbhatt/docker-ovs;1.10.2/Dockerfile
cwandrews/docker;builder/dockerfile/parser/testfiles/jeztah-invalid-json-unterminated-string/Dockerfile
hush-hush/thrift;Dockerfile
rrati/kubernetes;test/images/resource-consumer/controller/Dockerfile
BowlingX/commentp;Dockerfile
cnaize/kubernetes;build/hello-kubernetes/Dockerfile
iaintshine/docker;builder/parser/testfiles/brimstone-docker-consul/Dockerfile
jagatsingh/bigtop;bigtop-bigpetstore/bigpetstore-transaction-queue/Dockerfile
moul/millipede-go;Dockerfile
Versent/kubernetes;examples/cluster-dns/images/backend/Dockerfile
avranju/kubernetes;examples/hazelcast/image/Dockerfile
erulabs/kubernetes;examples/guestbook/php-redis/Dockerfile
lifeeth/docker-arm;docs/sources/examples/mongodb/Dockerfile
mingderwang/origin;Dockerfile
ZazieTheBeast/oscar;Dockerfile
flexiant/kubernetes;docs/user-guide/liveness/image/Dockerfile
kismatic/kubernetes;examples/environment-guide/containers/backend/Dockerfile
polyrabbit/polyglot;corpus/Dockerfile/filenames/Dockerfile
qnib/docker-openhab;Dockerfile
wideioltd/pachyderm;Dockerfile
YaSanBee/Dockerfiles;Python/3.4.2/Django-uWSGI-Nginx/Dockerfile
arashbina/kubernetes;test/images/volumes-tester/rbd/Dockerfile
jameskyle/kubernetes;build/hello-kubernetes/Dockerfile
mattbates/kubernetes;docs/user-guide/environment-guide/containers/backend/Dockerfile
rocknrollMarc/docker;builder/parser/testfiles/tf2/Dockerfile
zero323/docker-rdkit;jupyter/Dockerfile
CAPTools/CAPCollector;Dockerfile
Yhgenomics/kubernetes;build/build-image/cross/Dockerfile
amitkgupta/kubernetes;examples/k8petstore/redis-slave/Dockerfile
carl-mastrangelo/grpc;tools/dockerfile/stress_test/grpc_interop_stress_node/Dockerfile
forrestsill/bosh-init;vendor/github.com/cloudfoundry/bosh-agent/ci/docker/Dockerfile
glogiotatidis/compose;tests/fixtures/build-ctx/Dockerfile
jamiehannaford/docker;docs/sources/articles/https/Dockerfile
jfrazelle/dockerfiles;commit-watcher/Dockerfile
leroy-chen/kubernetes;cluster/addons/dns/skydns/Dockerfile
mathewkoshy493/docker;docs/examples/apt-cacher-ng.Dockerfile
sakai135/docker-utils;Dockerfiles/fluentd/fluent.conf
wingedkiwi/kubernetes;cluster/addons/fluentd-gcp/fluentd-gcp-image/Dockerfile
idi-ops/docker-postfix;Dockerfile
thrasher-redhat/origin;test/extended/testdata/custom-secret-builder/Dockerfile
timoreimann/kubernetes;examples/rethinkdb/image/Dockerfile
jgiovaresco/dockerfiles;hubic/Dockerfile
maciaszczykm/kubernetes;examples/guestbook-go/_src/Dockerfile
mozilla/marketplace-env;docker/images/redis/Dockerfile
raffaelespazzoli/origin;examples/gitserver/Dockerfile
MikaelCluseau/kubernetes;examples/k8petstore/redis-slave/Dockerfile
balajismaniam/kubernetes;test/images/pets/redis/Dockerfile
jacksoncage/docker-drone;Dockerfile
kr1sp1n/service-pipeline;Dockerfile
linuxconfig/apt-cacher-ng;Dockerfile
macpersia/planty-worklogs;Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/scipy/weave/blitz/blitz/vecdelta.cc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/statsmodels-0.5.0-py2.7-linux-x86_64.egg/statsmodels/datasets/spector/data.pyc
john-pettigrew/dockerfiles;sleeping-beauty/Dockerfile
rohitsardesai83/kubernetes;test/images/n-way-http/Dockerfile
colstrom/docker-nginx-naxsi;ubuntu/Dockerfile
harbur/docker-multi-tenancy;Dockerfile
UnityTech/kafkalogsforwarder;Dockerfile-kafkatopapertrail
jtgasper3/shibboleth-compose;images/httpd-sp/Dockerfile
yabawock/dokku-alt-buildstep;Dockerfile
jboss-dockerfiles/dashbuilder;base/Dockerfile
andrewgodwin/channels-examples;databinding/Dockerfile
rnaveiras/kubernetes.github.io;docs/user-guide/horizontal-pod-autoscaling/image/Dockerfile
ahmetalpbalkan/azure-cli-docker;0.9.6/Dockerfile
chusiang/vim-and-vi-mode.ansible.role;tests/Dockerfile.ubuntu16.04
tompko/mal;js/Dockerfile
alban/scope;client/Dockerfile
hirro/docker;build/logstash-forwarder/Dockerfile
jvanz/docker;contrib/desktop-integration/gparted/Dockerfile
vishh/docker;integration-cli/build_tests/TestAdd/EtcToRoot/Dockerfile
azurvii/godot;tools/docker/Dockerfile
askcarter/io16;app/monolith/Dockerfile
calve/cerberus;Dockerfile
chmouel/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/docker/Dockerfile
haugene/docker;builder/dockerfile/parser/testfiles/json/Dockerfile
jecarey/docker;builder/dockerfile/parser/testfiles/kartar-entrypoint-oddities/Dockerfile
jjn2009/docker;contrib/desktop-integration/gparted/Dockerfile
noxiouz/docker;Dockerfile.armhf
anpingli/origin;examples/deployment/Dockerfile
keloyang/docker;man/Dockerfile
kikkomep/guides;microservices-seneca-ubuntu-simple/dockerfiles/Dockerfile.seneca_user
linecheng/swarm;test/integration/testdata/build_with_args/Dockerfile
matt-kwong/grpc;tools/dockerfile/distribtest/ruby_fedora21_x64/Dockerfile
rsampaio/docker;contrib/builder/deb/debian-jessie/Dockerfile
